genreID, genreName
0, french indie pop
1, french indietronica
2, indie soul
3, new french touch
4, dance pop
5, pop
6, pop rap
7, r&b
8, scam rap
9, trap queen
10, alternative hip hop
11, detroit hip hop
12, escape room
13, hip hop
14, rap
15, underground hip hop
16, afrofuturism
17, alternative r&b
18, lgbtq+ hip hop
19, modern rock
20, punk blues
21, rock
22, lo-fi rap
23, post-teen pop
24, urban contemporary
25, indie r&b
26, ambient
27, art pop
28, drift
29, drone
30, fourth world
31, freak folk
32, new isolationism
33, outsider house
34, sound art
35, warm drone
36, canadian classical piano
37, classical piano
38, classic soul
39, disco
40, funk
41, minneapolis sound
42, motown
43, post-disco
44, quiet storm
45, soul
46, arab groove
47, indonesian hip hop
48, melancholia
49, permanent wave
50, singer-songwriter
51, indie folk
52, pop folk
53, stomp and flutter
54, stomp and holler
55, canadian contemporary r&b
56, canadian pop
57, alternative rock
58, anti-folk
59, dream pop
60, indie rock
61, lo-fi
62, post-rock
63, washington indie
64, neo soul
65, psychedelic hip hop
66, hip pop
67, pop r&b
68, beatlesque
69, british invasion
70, classic rock
71, merseybeat
72, psychedelic rock
73, indie poptimism
74, la indie
75, modern alternative rock
76, pop rock
77, indietronica
78, small room
79, transpop
80, chicago indie
81, indie pop
82, indie hip hop
83, indie garage rock
84, bebop
85, big band
86, contemporary jazz
87, contemporary post-bop
88, jazz
89, jazz fusion
90, jazz trumpet
91, portland hip hop
92, adult standards
93, brill building pop
94, bubblegum pop
95, rock-and-roll
96, weirdcore
97, rock uruguayo
98, bedroom pop
99, oakland indie
100, edmonton indie
101, lo-fi indie
102, experimental hip hop
103, dmv rap
104, melodic rap
105, philly rap
106, trap
107, northern soul
108, album rock
109, art rock
110, progressive rock
111, symphonic rock
112, montreal indie
113, quebec indie
114, conscious hip hop
115, west coast rap
116, brit funk
117, focus beats
118, lo-fi beats
119, british soul
120, jazz blues
121, emo rap
122, miami hip hop
123, latin
124, latin alternative
125, latin pop
126, mexican pop
127, rock en espanol
128, veracruz indie
129, meme rap
130, brooklyn indie
131, east coast hip hop
132, hardcore hip hop
133, channel islands indie
134, vapor soul
135, chillwave
136, electropop
137, metropopolis
138, g funk
139, gangster rap
140, country rock
141, folk
142, folk rock
143, mellow gold
144, roots rock
145, baroque pop
146, sunshine pop
147, k-pop
148, k-rap
149, korean pop
